ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
   529,   0.95,  12.50, 0.35075, 0.44343, 0.20582, 0.22381, 0.31702, 0.44785,
   530,   2.84,  12.50, 0.38212, 0.44141, 0.17647, 0.22453, 0.31313, 0.44509,
   531,   4.74,  12.50, 0.36912, 0.48033, 0.15056, 0.23869, 0.32128, 0.44754,
   532,   6.63,  12.50, 0.36912, 0.48033, 0.15056, 0.23869, 0.31984, 0.44552,
   533,   8.53,  12.50, 0.52542, 0.32905, 0.14552, 0.17756, 0.26939, 0.42435,
   534,  10.42,  12.50, 0.64304, 0.16765, 0.18931, 0.10059, 0.21825, 0.40940,
   535,  12.32,  12.50, 0.68683, 0.19098, 0.12219, 0.10423, 0.21911, 0.40312,
   536,  14.21,  12.50, 0.68683, 0.19098, 0.12219, 0.10423, 0.21903, 0.40304,
   537,  16.11,  12.50, 0.78458, 0.06451, 0.15092, 0.11405, 0.16405, 0.39047,
   538,  18.00,  12.50, 0.90000, 0.05000, 0.05000, 0.09626, 0.14626, 0.37592,
   539,  19.89,  12.50, 0.28997, 0.15418, 0.55585, 0.15599, 0.25801, 0.45283,
   540,  21.79,  12.50, 0.28997, 0.15418, 0.55585, 0.15599, 0.25798, 0.45279,
   541,  23.68,  12.50, 0.90000, 0.05000, 0.05000, 0.09630, 0.14630, 0.37595,
   542,  25.58,  12.50, 0.90000, 0.05000, 0.05000, 0.09621, 0.14621, 0.37588,
   543,  27.47,  12.50, 0.90000, 0.05000, 0.05000, 0.09632, 0.14632, 0.37596,
   544,  29.37,  12.50, 0.45526, 0.21657, 0.32817, 0.13508, 0.25498, 0.43215,
   545,  31.26,  12.50, 0.45526, 0.21657, 0.32817, 0.13508, 0.25508, 0.43228,
   546,  33.16,  12.50, 0.43497, 0.19337, 0.37167, 0.13189, 0.25128, 0.43476,
   548,  36.95,  12.50, 0.51160, 0.23121, 0.25719, 0.13427, 0.25257, 0.42604,
   550,  40.74,  12.50, 0.44918, 0.30333, 0.24748, 0.16762, 0.27783, 0.43461,
   551,  42.63,  12.50, 0.37458, 0.24520, 0.38023, 0.15272, 0.27502, 0.44503,
   552,  44.53,  12.50, 0.41069, 0.26951, 0.31980, 0.15699, 0.27561, 0.43961,
   553,  46.42,  12.50, 0.61507, 0.12768, 0.25725, 0.10166, 0.20990, 0.41682,
   554,  48.32,  12.50, 0.37817, 0.23748, 0.38435, 0.15011, 0.27296, 0.44656,
   555,  50.21,  12.50, 0.45268, 0.24582, 0.30150, 0.14490, 0.26545, 0.43681,
   556,  52.11,  12.50, 0.46775, 0.22859, 0.30366, 0.13750, 0.26057, 0.43663,
   557,  54.00,  12.50, 0.37817, 0.23748, 0.38435, 0.15011, 0.27222, 0.44472,
   558,  55.89,  12.50, 0.36810, 0.26484, 0.36706, 0.15933, 0.28416, 0.45199,
   559,  57.79,  12.50, 0.57052, 0.12399, 0.30549, 0.10931, 0.21881, 0.43611,
   560,  59.68,  12.50, 0.59928, 0.12575, 0.27497, 0.10439, 0.21727, 0.45075,
   561,  61.58,  12.50, 0.59928, 0.12575, 0.27497, 0.10439, 0.22303, 0.46641,
   562,  63.47,  12.50, 0.52781, 0.20059, 0.27160, 0.12217, 0.25039, 0.44829,
   563,  65.37,  12.50, 0.52781, 0.20059, 0.27160, 0.12217, 0.24731, 0.44688,
   564,  67.26,  12.50, 0.63578, 0.14784, 0.21637, 0.09810, 0.21602, 0.42082,
   570,  78.63,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   571,  80.53,  12.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   588, -69.16,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   610, -27.47,  15.00, 0.50869, 0.21271, 0.27859, 0.12803, 0.24664, 0.42524,
   611, -25.58,  15.00, 0.77631, 0.07467, 0.14902, 0.11916, 0.16916, 0.39161,
   612, -23.68,  15.00, 0.77631, 0.07467, 0.14902, 0.11926, 0.16926, 0.39169,
   613, -21.79,  15.00, 0.51575, 0.18497, 0.29928, 0.11938, 0.23822, 0.42469,
   614, -19.89,  15.00, 0.51575, 0.18497, 0.29928, 0.11938, 0.23841, 0.42490,
   615, -18.00,  15.00, 0.49961, 0.23422, 0.26618, 0.13645, 0.25374, 0.42678,
   616, -16.11,  15.00, 0.72409, 0.14755, 0.12837, 0.08816, 0.20215, 0.39903,
   617, -14.21,  15.00, 0.42029, 0.42869, 0.15101, 0.22128, 0.30481, 0.43833,
   618, -12.32,  15.00, 0.42029, 0.42869, 0.15101, 0.22128, 0.30487, 0.43841,
   619, -10.42,  15.00, 0.42029, 0.42869, 0.15101, 0.22128, 0.30463, 0.43809,
   620,  -8.53,  15.00, 0.37732, 0.45539, 0.16729, 0.22972, 0.31442, 0.44366,
   621,  -6.63,  15.00, 0.37732, 0.45539, 0.16729, 0.22972, 0.31422, 0.44339,
   622,  -4.74,  15.00, 0.74114, 0.12389, 0.13497, 0.08574, 0.19290, 0.39775,
   623,  -2.84,  15.00, 0.64882, 0.26801, 0.08317, 0.14398, 0.24490, 0.40984,
   624,  -0.95,  15.00, 0.64882, 0.26801, 0.08317, 0.14398, 0.24586, 0.41098,
   625,   0.95,  15.00, 0.35075, 0.44343, 0.20582, 0.22381, 0.31792, 0.44911,
   626,   2.84,  15.00, 0.40415, 0.42993, 0.16592, 0.22100, 0.30805, 0.44169,
   627,   4.74,  15.00, 0.36912, 0.48033, 0.15056, 0.23869, 0.31938, 0.44487,
   628,   6.63,  15.00, 0.46261, 0.35611, 0.18127, 0.19041, 0.28643, 0.43299,
   629,   8.53,  15.00, 0.39876, 0.40735, 0.19389, 0.21155, 0.30097, 0.44017,
   630,  10.42,  15.00, 0.35461, 0.35810, 0.28729, 0.19247, 0.30119, 0.44625,
   631,  12.32,  15.00, 0.39503, 0.37458, 0.23039, 0.19823, 0.29796, 0.44058,
   632,  14.21,  15.00, 0.84147, 0.06160, 0.09693, 0.10691, 0.15691, 0.38330,
   633,  16.11,  15.00, 0.78458, 0.06451, 0.15092, 0.11409, 0.16409, 0.39051,
   634,  18.00,  15.00, 0.78458, 0.06451, 0.15092, 0.11408, 0.16408, 0.39050,
   635,  19.89,  15.00, 0.90000, 0.05000, 0.05000, 0.09632, 0.14632, 0.37596,
   636,  21.79,  15.00, 0.28997, 0.15418, 0.55585, 0.15599, 0.25802, 0.45284,
   637,  23.68,  15.00, 0.42889, 0.15775, 0.41337, 0.12897, 0.24089, 0.43539,
   638,  25.58,  15.00, 0.42889, 0.15775, 0.41337, 0.12897, 0.24087, 0.43536,
   639,  27.47,  15.00, 0.42889, 0.15775, 0.41337, 0.12897, 0.24085, 0.43534,
   640,  29.37,  15.00, 0.45526, 0.21657, 0.32817, 0.13508, 0.25492, 0.43208,
   641,  31.26,  15.00, 0.45526, 0.21657, 0.32817, 0.13508, 0.25509, 0.43229,
   642,  33.16,  15.00, 0.50742, 0.14964, 0.34294, 0.11615, 0.22825, 0.42573,
   644,  36.95,  15.00, 0.51160, 0.23121, 0.25719, 0.13427, 0.25270, 0.42625,
   645,  38.84,  15.00, 0.42788, 0.24585, 0.32627, 0.14726, 0.26798, 0.43866,
   646,  40.74,  15.00, 0.44758, 0.25915, 0.29327, 0.15018, 0.26864, 0.43561,
   647,  42.63,  15.00, 0.37458, 0.24520, 0.38023, 0.15272, 0.27429, 0.44392,
   648,  44.53,  15.00, 0.48631, 0.30059, 0.21310, 0.16491, 0.27308, 0.43250,
   649,  46.42,  15.00, 0.47114, 0.24376, 0.28510, 0.14249, 0.26291, 0.43661,
   650,  48.32,  15.00, 0.30588, 0.26902, 0.42510, 0.16719, 0.29001, 0.45577,
   651,  50.21,  15.00, 0.45141, 0.26748, 0.28111, 0.15304, 0.27066, 0.43641,
   652,  52.11,  15.00, 0.46775, 0.22859, 0.30366, 0.13750, 0.26158, 0.43950,
   653,  54.00,  15.00, 0.58993, 0.03137, 0.37869, 0.12684, 0.17684, 0.42234,
   654,  55.89,  15.00, 0.55791, 0.14359, 0.29850, 0.10856, 0.22688, 0.44087,
   655,  57.79,  15.00, 0.55791, 0.14359, 0.29850, 0.10856, 0.22628, 0.44319,
   656,  59.68,  15.00, 0.58703, 0.10533, 0.30765, 0.11485, 0.21198, 0.45189,
   657,  61.58,  15.00, 0.59928, 0.12575, 0.27497, 0.10439, 0.22216, 0.46683,
   658,  63.47,  15.00, 0.59928, 0.12575, 0.27497, 0.10439, 0.22237, 0.46483,
   659,  65.37,  15.00, 0.53634, 0.19333, 0.27033, 0.11909, 0.25112, 0.47218,
   660,  67.26,  15.00, 0.71801, 0.13242, 0.14958, 0.08777, 0.20581, 0.42008,
   661,  69.16,  15.00, 0.52781, 0.20059, 0.27160, 0.12217, 0.24620, 0.44474,
   665,  76.74,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   666,  78.63,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   667,  80.53,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   684, -69.16,  17.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   703, -33.16,  17.50, 0.61912, 0.18503, 0.19585, 0.10792, 0.22333, 0.41169,
   704, -31.26,  17.50, 0.51575, 0.18497, 0.29928, 0.11938, 0.23827, 0.42474,
   705, -29.37,  17.50, 0.51575, 0.18497, 0.29928, 0.11938, 0.23816, 0.42462,
   706, -27.47,  17.50, 0.51575, 0.18497, 0.29928, 0.11938, 0.23826, 0.42473,
   707, -25.58,  17.50, 0.51575, 0.18497, 0.29928, 0.11938, 0.23844, 0.42494,
   708, -23.68,  17.50, 0.51575, 0.18497, 0.29928, 0.11938, 0.23838, 0.42487,
   709, -21.79,  17.50, 0.59853, 0.24565, 0.15582, 0.13434, 0.24448, 0.41449,
   710, -19.89,  17.50, 0.59853, 0.24565, 0.15582, 0.13434, 0.24478, 0.41484,
   711, -18.00,  17.50, 0.64363, 0.14918, 0.20719, 0.09727, 0.21172, 0.40882,
