ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
   617, -14.21,  15.00, 0.43951, 0.42339, 0.13710, 0.21998, 0.30230, 0.43760,
   618, -12.32,  15.00, 0.43951, 0.42339, 0.13710, 0.21998, 0.30233, 0.43766,
   619, -10.42,  15.00, 0.43951, 0.42339, 0.13710, 0.21998, 0.30216, 0.43738,
   620,  -8.53,  15.00, 0.37717, 0.46805, 0.15478, 0.23461, 0.31737, 0.44535,
   621,  -6.63,  15.00, 0.37717, 0.46805, 0.15478, 0.23461, 0.31722, 0.44511,
   622,  -4.74,  15.00, 0.71502, 0.15867, 0.12631, 0.09125, 0.20790, 0.40300,
   623,  -2.84,  15.00, 0.62873, 0.30363, 0.06764, 0.16410, 0.25573, 0.41420,
   624,  -0.95,  15.00, 0.62873, 0.30363, 0.06764, 0.16410, 0.25626, 0.41505,
   625,   0.95,  15.00, 0.33840, 0.46675, 0.19484, 0.23158, 0.32344, 0.45177,
   626,   2.84,  15.00, 0.42865, 0.42343, 0.14792, 0.21944, 0.30439, 0.43996,
   627,   4.74,  15.00, 0.39636, 0.46565, 0.13799, 0.23507, 0.31453, 0.44308,
   628,   6.63,  15.00, 0.44230, 0.38997, 0.16773, 0.20531, 0.29631, 0.43727,
   629,   8.53,  15.00, 0.30555, 0.52047, 0.17398, 0.24712, 0.33293, 0.45363,
   630,  10.42,  15.00, 0.34051, 0.40731, 0.25218, 0.21041, 0.31269, 0.44970,
   631,  12.32,  15.00, 0.35344, 0.40353, 0.24304, 0.20917, 0.31019, 0.44782,
   632,  14.21,  15.00, 0.79283, 0.08149, 0.12568, 0.10645, 0.17068, 0.39081,
   633,  16.11,  15.00, 0.76588, 0.06077, 0.17334, 0.11522, 0.16522, 0.39418,
   634,  18.00,  15.00, 0.76588, 0.06077, 0.17334, 0.11520, 0.16520, 0.39416,
   635,  19.89,  15.00, 0.90000, 0.05000, 0.05000, 0.09692, 0.14692, 0.37730,
   636,  21.79,  15.00, 0.26335, 0.12803, 0.60861, 0.16973, 0.25352, 0.45740,
   637,  23.68,  15.00, 0.40421, 0.14413, 0.45166, 0.13442, 0.24044, 0.43979,
   638,  25.58,  15.00, 0.40421, 0.14413, 0.45166, 0.13442, 0.24040, 0.43974,
   639,  27.47,  15.00, 0.40421, 0.14413, 0.45166, 0.13442, 0.24037, 0.43969,
   640,  29.37,  15.00, 0.45249, 0.22571, 0.32179, 0.13817, 0.25869, 0.43374,
   641,  31.26,  15.00, 0.45249, 0.22571, 0.32179, 0.13817, 0.25895, 0.43413,
   642,  33.16,  15.00, 0.47229, 0.16072, 0.36699, 0.12193, 0.23735, 0.43168,
   644,  36.95,  15.00, 0.48885, 0.23683, 0.27432, 0.13838, 0.25789, 0.43086,
   645,  38.84,  15.00, 0.40770, 0.24124, 0.35106, 0.14786, 0.26975, 0.44131,
   646,  40.74,  15.00, 0.46672, 0.23595, 0.29733, 0.14011, 0.26098, 0.43442,
   647,  42.63,  15.00, 0.34375, 0.22595, 0.43030, 0.15165, 0.27438, 0.44910,
   648,  44.53,  15.00, 0.52783, 0.26916, 0.20301, 0.14893, 0.26065, 0.42650,
   649,  46.42,  15.00, 0.49556, 0.21682, 0.28762, 0.13074, 0.25162, 0.43083,
   650,  48.32,  15.00, 0.28489, 0.22828, 0.48683, 0.16075, 0.28320, 0.45724,
   651,  50.21,  15.00, 0.47442, 0.24586, 0.27971, 0.14299, 0.26256, 0.43373,
   652,  52.11,  15.00, 0.52574, 0.19836, 0.27590, 0.12173, 0.24409, 0.42918,
   653,  54.00,  15.00, 0.41665, 0.03014, 0.55321, 0.14448, 0.19448, 0.44276,
   654,  55.89,  15.00, 0.57693, 0.13242, 0.29066, 0.10660, 0.21748, 0.42465,
   655,  57.79,  15.00, 0.57693, 0.13242, 0.29066, 0.10660, 0.21729, 0.42487,
   656,  59.68,  15.00, 0.59893, 0.10046, 0.30061, 0.11628, 0.20443, 0.42476,
   657,  61.58,  15.00, 0.60903, 0.12049, 0.27048, 0.10425, 0.21162, 0.42591,
   658,  63.47,  15.00, 0.60903, 0.12049, 0.27048, 0.10425, 0.21163, 0.42601,
   659,  65.37,  15.00, 0.53987, 0.19003, 0.27010, 0.11777, 0.24252, 0.43486,
   660,  67.26,  15.00, 0.70436, 0.13045, 0.16519, 0.08945, 0.20190, 0.40874,
   661,  69.16,  15.00, 0.53840, 0.19213, 0.26947, 0.11852, 0.24062, 0.42850,
   665,  76.74,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   666,  78.63,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   667,  80.53,  15.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   684, -69.16,  17.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   703, -33.16,  17.50, 0.50281, 0.26708, 0.23012, 0.14942, 0.26177, 0.42795,
   704, -31.26,  17.50, 0.52817, 0.17170, 0.30013, 0.11509, 0.23375, 0.42472,
   705, -29.37,  17.50, 0.52817, 0.17170, 0.30013, 0.11509, 0.23361, 0.42452,
   706, -27.47,  17.50, 0.52817, 0.17170, 0.30013, 0.11509, 0.23374, 0.42471,
   707, -25.58,  17.50, 0.52817, 0.17170, 0.30013, 0.11509, 0.23395, 0.42502,
   708, -23.68,  17.50, 0.52817, 0.17170, 0.30013, 0.11509, 0.23388, 0.42492,
   709, -21.79,  17.50, 0.60777, 0.23398, 0.15825, 0.12835, 0.24133, 0.41499,
   710, -19.89,  17.50, 0.60777, 0.23398, 0.15825, 0.12835, 0.24162, 0.41544,
   711, -18.00,  17.50, 0.58100, 0.17224, 0.24676, 0.10858, 0.22751, 0.41842,
